"","publication.title","publication.journal","publication.date","publication.doi","publication.tot_cites","publication.abstract","Assigned.to","Food.item_notes","Inputs","Inputs_notes","Production","Production_notes","Storage.Processing","Storage.Processing_notes","Distribution.domestic","Distribution.domestic_notes","International.trade","International.trade_notes","Retail.Markets","Retail.Markets_notes","Consumption","Consumption_notes","Price","Price_notes","Shock.type","Shock.type.notes","Shock.year","Propagation","Study.design","Study.design.type","Primary.outcomes.assessed","Study.location","Study.scale","Study.time.period","Eliminate","Elimination.justification","Notes","study.id","Food.item","Stop_at_prod","Study.region"
"1","A cross-country analysis of climate shocks and smallholder food insecurity","Plos One","2/23/18","10.1371/journal.pone.0192928",3,"Future climate changes will affect smallholder farmers in the developing world, posing threats to household food security. Nevertheless, there remains limited comparable evidence across multiple countries and regions regarding the global extent of climate shocks affecting smallholder food security. We examine data from 5,299 household surveys across 15 countries in Latin America, Africa and South Asia to assess the extent of climate shocks and their association with food insecurity, as well as what strategies may help buffer against climate shocks. We find that 71% of households reported experiencing a climate shock in the previous five years. Fifty-four percent reported experiencing food insecurity during one or more months annually. A multilevel statistical model estimated factors correlated with food insecurity as well as factors correlated with food insecurity among households that had experienced a climate shock. Households that reported experiencing a climate shock were 1.73 times more likely to be food insecure. As well, larger and poorer households were associated with higher odds of food insecurity while using pesticides, keeping large livestock, and being more educated are associated with lower odds of food insecurity. Among households that had experienced a climate shock, additional factors are correlated with lower odds of food insecurity when compared to otherwise similar households: use of fertilizers, pesticides, veterinary medicines, large livestock, and household assets. Together, these results demonstrate the extent of existing climate shocks affecting smallholder farmers and how interventions may potentially support adaptation and reduce food insecurity.","Jessica","","No","","No","","No","","No","","No",NA,"No","","Yes","Food insecurity is measured as the total number of months in a typical year during which respondents reported not having adequate food for their household","No","","Household-reported climate related crisis"," (eg. Flood, drought, frost, tidal surge)","Households surveyed in 2010-2012 about shocks within the past 5 years","N","Regression predicting the probability of food insecurity","Quantitative","Food insecurity is measured as the total number of months in a typical year during which respondents reported not having adequate food for their household","15 countries across C America, W Africa, E Africa, and S Asia. 1-10 sites selected in each country, with 140 households/site","Sub-national","2010-2012","N","","",1,"Not specific","N","Multi-regional"
"2","An assessment of the impact of disaster risks on dairy supply chain performance in Zimbabwe","Cogent Engineering","12/11/17","10.1080/23311916.2017.1409389",0,"This study investigated the impact of disaster risks on the performance of Zimbabwe's dairy supply chains. The study was initiated on the premise that Zimbabwe is at high risk and is highly vulnerable to disasters such as drought, cyclones, floods, animal diseases, and crop pests. This study employed a mixed method approach that involved the use of structured questionnaires, semi-structured interviews and observations. A combined total of 92 dairy farmers and milk processors were sampled from a target population of 122 from major milk producing regions in the country, with a response rate of 85%. Key informants, comprising 18 dairy authorities and 30 retailers were purposively sampled. Chipinge, Mutare, Harare, Gweru, and Bulawayo, were the regions under investigation, covering the greater part of the country. The findings computed through Ordinary Least Square regression analysis, indicated that an overall index of disaster risks impacted negatively on dairy supply chain performance. Major indicators of the disaster impacts were job losses, food insecurity, reduced milk productivity, and the general retarded growth in dairy businesses. The results were also corroborated by outcome of interviews with key informants. This study recommends that both the private sector and the government should invest in disaster reduction strategies, to enhance the effective and sustainable performance of dairy supply chains in Zimbabwe. The findings from the study contribute to literature on disaster risks, which has largely been under-explored in developing countries, will also assist practicing managers, particularly in dairy sector, in dealing with disaster risk issues. Similarly, the study findings will assist policy makers to consider enacting policies, and improve existing ones, to assist communities faced with disaster risks.","Jessica","","No","","Yes","Dairy farmers interviewed, but analysis doesn't appear to breakdown by stage","Yes","Dairy officers interviewed, but analysis doesn't appear to breakdown by stage","Yes","Dairy retailers interviewed, but analysis doesn't appear to breakdown by stage","No",NA,"No","","Yes","Food security is an outcome variable","No","","Disaster risk index","comprised of interest rates, influence from local giants, international competition, government policy, political influence, drought, cattle diseases, cyclones, extreme cold weather, feeds processing technology, power outages, milk technology and high labour and dairy breeding costs","n/a (risk study-- not looking at a specific event)","N","Interview key informants involved in the dairy supply chain about disaster risks. Multiple linear regression with the risk index as a predictor for food insecurity","Mixed
","job losses, food insecurity, growth of firms, and reduced milk productivity","Zimbabwe","National","Not stated","N","","",2,"Dairy","N","Africa"
"3","An unforgettable event: a qualitative study of the 1997-98 El Nino in northern Peru","Disasters","4/1/14","10.1111/disa.12046",6,"During the 1997-98 El Nino, Tumbes, Peru received 16 times the annual average rainfall. This study explores how Tumbes residents perceived the impact of the El Nino event on basic necessities, transport, health care, jobs and migration. Forty-five individuals from five rural communities, some of which were isolated from the rest of Tumbes during the event, participated in five focus groups; six of these individuals constructed nutrition diaries. When asked about events in the past 20 years, participants identified the 1997-98 El Nino as a major negative event. The El Nino disaster situation induced a decrease in access to transport and health care and the rise in infectious diseases was swiftly contained. Residents needed more time to rebuild housing; recover agriculture, livestock and income stability; and return to eating sufficient animal protein. Although large-scale assistance minimized effects of the disaster, residents needed more support. Residents' perspectives on their risk of flooding should be considered in generating effective assistance policies and programmes.","Jessica","","No","","No","","No","","No","","No",NA,"No","","Yes","Changes in diet (lasting up to one year) were identified in one theme from the interviews","No","","El Nino (flooding)","","1997-1998","N","Qualitative interviews about perceptions of impacts (asked open-ended question about anything that has impacted the community in the past 20 years)","Qualitative","Basic necessities, transport, health care, jobs and migration","Northern Peru (Tumbes)","Sub-national","2008","N","","",3,"Not specific","N","South America"
"4","Are smallholder farmers better or worse off from an increase in the international price of cereals?","Food Policy","8/1/18","10.1016/j.foodpol.2018.07.006",0,"The effect of agricultural price shocks on household welfare in low-income countries is a major concern for policymakers attempting to reduce poverty rates. This study estimates the impact of an increase in the world cereal price on rural households in Burkina Faso in an agricultural household model framework. We account for imperfect transmission of global prices to local prices as well as supply and demand response of rural households to price signals. The increase in price during the period from 2006 to 2014 is translated to welfare improvement ranging from 0.02 percent for 2006 to 0.06 percent for 2011 for farmers in Burkina Faso.","Jessica","Cereals (pearl millet, maize, rice, sorghum, peanuts and cowpea)","No","","No","","No","","No","","No",NA,"No","","No","","Yes","","Price spike","","n/a","N","Household panel data used to estimate supply and demand elasticities and price transmission","Mixed
","Welfare","Burkina Faso","National","2007-2011","N","","",4,"Other cereals","N","Africa"
"5","Assessing the economic costs of a foot and mouth disease outbreak on Brittany: A dynamic computable general equilibrium analysis","Food Policy","4/1/13","10.1016/j.foodpol.2013.01.003",4,"Outbreaks of animal diseases such as foot and mouth disease (FMD) are of great concern for agriculture. In this paper, we quantify the potential dynamic impacts of such a disease on Brittany, a French region with an important livestock sector. In order to do this, we develop a dynamic computable general equilibrium model that allows us to measure the impacts on the livestock sectors and downstream food industries. We study the impacts of a FMD outbreak including the culling infected animals, a temporary decline in demand, and restrictions on movements of live animals and meats during the FMD outbreak period. Our results show that economic losses following this disease are spread over many periods even with a one-time shock. We also find that the impacts on the various primary sectors and downstream food sectors are quite different, depending on their initial trade position. Our general equilibrium results show the great incidence of potential constraints affecting factor markets. Capital and wage constraints severely increase the aggregate costs of such disease. These results challenge the definition of a simple efficient management policy for this disease. (C) 2013 Elsevier Ltd. All rights reserved.","Jessica","Cattle, swine, dairy, as well as indirect impacts on other sectors","No","","Yes","","Yes","","No","","Yes",NA,"Yes","","No","but maybe indirectly","Yes","","Simulated foot and mouth disease shock","","Simulated shock, but uses datacalibrated to 2003","N","Computable general equilibrium model","Quantitative","Welfare","Brittany region of France","Sub-national","","N","","",5,"Beef","N","Europe"
"6","Assessing the evolving fragility of the global food system","Environmental Research Letters","2/1/15","10.1088/1748-9326/10/2/024007",61,"The world food crisis in 2008 highlighted the susceptibility of the global food system to price shocks. Here we use annual staple food production and trade data from 1992-2009 to analyse the changing properties of the global food system. Over the 18 year study period, we show that the global food system is relatively homogeneous (85% of countries have low or marginal food self-sufficiency) and increases in complexity, with the number of global wheat and rice trade connections doubling and trade flows increasing by 42 and 90%, respectively. The increased connectivity and flows within these global trade networks suggest that the global food system is vulnerable to systemic disruptions, especially considering the tendency for exporting countries to switch to non-exporting states during times of food scarcity in the global markets. To test this hypothesis, we superimpose continental-scale disruptions on the wheat and rice trade networks. We find greater absolute reductions in global wheat and rice exports along with larger losses in network connectivity as the networks evolve due to disruptions in European wheat and Asian rice production. Importantly, our findings indicate that least developed countries suffer greater import losses in more connected networks through their increased dependence on imports for staple foods (due to these large-scale disturbances): mean (median) wheat losses as percentages of staple food supply are 8.9% (3.8%) for 1992-1996, increasing to 11% (5.7%) for 2005-2009. Over the same intervals, rice losses increase from 8.2% (2.2%) to 14% (5.2%). Our work indicates that policy efforts should focus on balancing the efficiency of international trade (and its associated specialization) with increased resilience of domestic production and global demand diversity.","Jessica","Staple crops","No","","Yes","","No","n/a","No","n/a","Yes",NA,"No","n/a","Yes","Sort of implied with supply metric","No","","Simulated shock","","n/a","Y (propagation among countries, not along the supply chain stages)","Simulated shock propagation on trade networks based on network properties","Quantitative","National stable crop supply","Global","International","1992-2009","N","","",6,"Maize, Wheat & Rice","N","Multi-regional"
"7","Can Global Climate Change affect Prices in the World Banana Market?","German Journal of Agricultural Economics","1/1/18",NA,0,"This paper explores the potential impacts of extreme weather events associated with climate change on prices in the international banana market. First, we made an inventory of the events reported to have affected banana export volumes for six exporter countries, as well as events reported to have affected banana import prices in the French market, between the years 2000 to 2015. We used weekly time-series to examine the impact of reported events on banana export volumes and on banana import prices. The first results indicate that weather events were the most frequently reported events to impact on export volumes and on consumer demand, thus confirming that they play a frequent role in determining prices. However, we also identified a wide range of other non weather events which affect volumes, consumer demand and thus prices. We demonstrated that the extent to which extreme weather events affect prices is primarily determined by the coincidence of events and by the structural context of the exporting and importing countries. This study helps to put the potential impact of weather events related to climate change into perspective and highlights the ongoing role of market mechanisms, policy makers and stakeholders' strategies in price variations in international commodity markets.","Jessica","","No","","No","","No","","No","","Yes",NA,"No","","No","","Yes","","Multiple shocks, including climatic, geopolitical, logistic, social causes","","Multiple shock events","Y","Cross-correlated events affecting banana exports with weekly banana prices","Quantitative","Export quantities and import prices","France (plus exports from Ecuador, Colombia, Costa Rica, Guadeloupe, Ivory Coast and Cameroon)","National","1999-2015","N","","Kyle requested and emailed pdf",7,"Fruits & Vegetables","N","Multi-regional"
"8","Climate change/variability and food systems: evidence from the Afram Plains, Ghana","Regional Environmental Change","12/1/11","10.1007/s10113-011-0211-3",27,"While there are many studies of the impacts of climate change and variability on food production, few studies are devoted to a comprehensive assessment of impacts on food systems. Results of a survey of food systems and household adaptation strategies in three communities in the Afram Plains, Ghana, reveal how extreme climatic events affect rural food production, transportation, processing and storage. Adaptation strategies implemented by the three communities during past droughts serve as a foundation for planning responses to future climate change. Results of this study suggest that food security in this region-where droughts and floods are expected to become more severe due to climate change-could be enhanced by increasing farm-based storage facilities; improving the transportation system, especially feeder roads that link food production areas and major markets; providing farmers with early warning systems; extending credit to farmers; and the use of supplementary irrigation. This study also indicates that some cultural practices, particularly those that prohibit the consumption of certain foods, may reduce the resilience of some individuals and ethnic groups to food system disruptions. Understanding the local context and the responses of households is critical to the development of effective strategies for reducing the potential adverse impacts of climatic change on food security in rural Ghana.","Jessica","","No","","Yes","","Yes","","Yes","","No",NA,"No","","Yes","","No","","No specific shock (a risk analysis)","","n/a","N","Household surveys about percerceptions of rclimate change risks and adapatation","Qualitative","Perceptions of risk and change","Three communities in the African Plains region of Ghana","Sub-national","2008","N","","",8,"Not specific","N","Africa"
"9","Climate variability and the volatility of global maize and soybean prices","Food Security","8/1/17","10.1007/s12571-017-0702-2",2,"Volatility in the price of agricultural commodities is one of the main factors affecting food security. Many studies have analyzed agricultural market instability from different points of view, but the effect of climate oscillations on agricultural price volatility has been little studied. Climate anomalies, and in particular extreme events, can alter agricultural yields and stocks with related effects on prices. This paper presents a Volatility Impulse Response Function (VIRF) from a multivariate GARCH model to investigate the effects of variability in climatic shocks (El Nino/Southern Oscillation - ENSO) on international maize and soybean price volatility from 1960 to 2014. For both commodities, VIRF analysis was conducted splitting the effect of El Nino and La Nina events according to Spring-Summer and Autumn-Winter meteorological seasons. Both events increase expected price volatility of maize, showing the strongest impact during the El Nino phase in Spring-Summer. Soybean price volatility tends to slightly decrease during Autumn-Winter meteorological seasons and to increase during the Spring-Summer period. To minimize the impact of ENSO events on commodity price volatility, various measures can be taken, both political and technical. Financial aspects should also be considered. It is possible that financial agents can use the ENSO index as information for trading activity, creating a new link between this index and volatility in commodity prices.","Jessica","","No","","No","","No","","No","","No",NA,"No","","No","","Yes","","El Nino","","Multiple (ENSO years)","N","Time series econometric approach to looking at ENSO event impacts on price volatility","Quantitative","Price volatility","Global","International","1960-2014","N","","",9,"Maize, Wheat & Rice","N","Multi-regional"
"10","Complex resource supply chains display higher resilience to simulated climate shocks","Global Environmental Change-Human and Policy Dimensions","9/1/17","10.1016/j.gloenvcha.2017.08.011",4,"Global resource supply chains deliver products such as fish, rice and minerals from producers to consumers around the world, linking disparate regions and economies. These supply chains are increasingly exposed to the impacts of a changing climate, yet receive little attention relative to the study of the production phase. Too often, business learns from experience if and how their supply chains can withstand and recover from climate shocks with little insight on proactively developing climate resilient supply chains. We use a network-based simulation approach to estimate the resilience of supply chains, particularly to disruption experienced during climate- related extreme events. We consider supply chain examples from three Australian resource industries - fisheries, agriculture and mining - that have experienced climate shocks in recent years. We derive four supply chain indices - evenness, resilience, continuity of supply and climate resilience - to estimate the performance of simple and complex supply chains in each industry. As with ecological systems, we show that complex supply chains with a large number of nodes and links are more resilient to disruption. Critically, all chains, regardless of their complexity, will have diminished resilience as climate disruptions become more frequent. This highlights the importance of considering the broader economic benefits of diversified chains, leading to risk reduction and improved design post-disruption. It also reinforces the importance of a systems approach to risk management in supply chains, particularly in considering adaptation options for addressing direct and indirect impacts on. the chain as well as the global challenge of reducing greenhouse gas emissions.","Jessica","","No","","Yes","","Yes","","Yes","","No",NA,"Yes","","Yes","","No","","Hypothetical","","n/a","Y","Map supply chains and simulate effects of shocks on them","Mixed","Resilience score","Australia","National","","N","","",10,"Seafood","N","Oceania"
