"publication.title","publication.journal","publication.date","publication.doi"
"A cross-country analysis of climate shocks and smallholder food insecurity","Plos One","2/23/18","10.1371/journal.pone.0192928"
"An assessment of the impact of disaster risks on dairy supply chain performance in Zimbabwe","Cogent Engineering","12/11/17","10.1080/23311916.2017.1409389"
"An unforgettable event: a qualitative study of the 1997-98 El Nino in northern Peru","Disasters","4/1/14","10.1111/disa.12046"
"Are smallholder farmers better or worse off from an increase in the international price of cereals?","Food Policy","8/1/18","10.1016/j.foodpol.2018.07.006"
"Assessing the economic costs of a foot and mouth disease outbreak on Brittany: A dynamic computable general equilibrium analysis","Food Policy","4/1/13","10.1016/j.foodpol.2013.01.003"
"Assessing the evolving fragility of the global food system","Environmental Research Letters","2/1/15","10.1088/1748-9326/10/2/024007"
"Can Global Climate Change affect Prices in the World Banana Market?","German Journal of Agricultural Economics","1/1/18",NA
"Climate change/variability and food systems: evidence from the Afram Plains, Ghana","Regional Environmental Change","12/1/11","10.1007/s10113-011-0211-3"
"Climate variability and the volatility of global maize and soybean prices","Food Security","8/1/17","10.1007/s12571-017-0702-2"
"Complex resource supply chains display higher resilience to simulated climate shocks","Global Environmental Change-Human and Policy Dimensions","9/1/17","10.1016/j.gloenvcha.2017.08.011"
"Decreases in global beer supply due to extreme drought and heat","Nature Plants","11/1/18","10.1038/s41477-018-0263-1"
"Dirty droughts causing loss and damage in Northern Burkina Faso","International Journal of Global Warming","1/1/13","10.1504/IJGW.2013.057288"
"Does agricultural trade liberalization increase risks of supply-side uncertainty?: Effects of productivity shocks and export restrictions on welfare and food supply in Japan","Food Policy","6/1/11","10.1016/j.foodpol.2011.01.002"
"Duration dependence and dynamic conditional covariance of seasonal food price shocks in semi-arid African countries","Food Security","6/1/12","10.1007/s12571-012-0179-y"
"Dynamic Effects of Drought on the U.S. Beef Supply Chain","Agricultural and Resource Economics Review","12/1/16","10.1017/age.2016.4"
"Dynamics of the Global Wheat Trade Network and Resilience to Shocks","Scientific Reports","8/3/17","10.1038/s41598-017-07202-y"
"Economy-wide impact of drought induced productivity losses","Disaster Prevention and Management","1/1/18","10.1108/DPM-05-2018-0155"
"Effects of drought on child health in Marsabit District, Northern Kenya","Economics & Human Biology","2/1/17","10.1016/j.ehb.2016.10.010"
"Effects of the 2008 flood on economic performance and food security in Yemen: a simulation analysis","Disasters","4/1/16","10.1111/disa.12147"
"El Nino Southern Oscillation and the fishmeal-soya bean meal price ratio: regime-dependent dynamics revisited","European Review of Agricultural Economics","9/1/14","10.1093/erae/jbt033"
"Evacuation after the Great East Japan Earthquake was associated with poor dietary intake: The Fukushima Health Management Survey","Journal of Epidemiology","1/1/17","10.1016/j.je.2016.08.002"
"Extreme weather and economic well-being in rural Mozambique","Natural Hazards","3/1/13","10.1007/s11069-011-0064-6"
"Extreme weather, food security and the capacity to adapt - the case of crops in China","Food Security","6/1/17","10.1007/s12571-015-0420-6"
"Family Food Security with The Nutritional Status of Toddlers After The Eruption of Mount Bromo","Proceedings of the Health Science International Conference (Hsic 2017)","1/1/17",NA
"Food Access and Shocks in Rural Households: Evidence from Bangladesh and Ethiopia","Social Indicators Research","11/1/16","10.1007/s11205-015-1118-z"
"Food Guide Pagoda and the food safety of women: one-year follow-up study on the effects of the 2008 Sichuan Earthquake","Asia Pacific Journal of Clinical Nutrition","5/1/18","10.6133/apjcn.092017.08"
"Food production shocks across land and sea","Nature Sustainability","2/1/19","10.1038/s41893-018-0210-1"
"Food security and climate change from a systems perspective: community case studies from Honduras","Climate and Development","1/1/18","10.1080/17565529.2018.1447901"
"Food system consequences of a fungal disease epidemic in a major crop","Philosophical Transactions of the Royal Society b-Biological Sciences","12/5/16","10.1098/rstb.2015.0467"
"Gastrointestinal Symptoms and Food/Nutrition Concerns after the Great East Japan Earthquake in March 2011: Survey of Evacuees in a Temporary Shelter","Prehospital and Disaster Medicine","6/1/14","10.1017/S1049023X14000533"
"Global effects of local food-production crises: a virtual water perspective","Scientific Reports","1/25/16","10.1038/srep18803"
"Global market shocks and poverty in Vietnam: the case of rice","Agricultural Economics","9/1/12","10.1111/j.1574-0862.2012.00604.x"
"Gone with the Storm: Rainfall Shocks and Household Wellbeing in Guatemala","Journal of Development Studies","1/1/17","10.1080/00220388.2016.1224853"
"Harvest failures, temporary export restrictions and global food security: the example of limited grain exports from Russia, Ukraine and Kazakhstan","Food Security","10/1/14","10.1007/s12571-014-0372-2"
"Hazards to food caloric availability and coverage per capita due to climate change in the Puno region, Peruvian Altiplano: Challenges in food security and sovereignty","Food and Energy Security","5/1/18","10.1002/fes3.134"
"Household capacities, vulnerabilities and food insecurity: Shifts in food insecurity in urban and rural Ethiopia during the 2008 food crisis","Social Science & Medicine","11/1/11","10.1016/j.socscimed.2011.09.004"
"Household vulnerability to food price increases: the 2008 crisis in urban Southern Africa","Geographical Research","5/1/17","10.1111/1745-5871.12222"
"Impacts of climate change on food security and agriculture sector in Malaysia","Environment Development and Sustainability","8/1/18","10.1007/s10668-017-9954-4"
"Impacts of climate variability and food price volatility on household income and food security of farm households in East and West Africa","Agricultural Systems","6/1/18","10.1016/j.agsy.2017.02.006"
"IMPACTS OF FLOOD ON LIVELIHOODS AND FOOD SECURITY OF RURAL COMMUNITIES: A CASE STUDY OF SOUTHERN PUNJAB, PAKISTAN","Pakistan Journal of Agricultural Sciences","12/1/13",NA
"Investigating the sensitivity of household food security to agriculture-related shocks and the implication of social and natural capital","Sustainability Science","3/1/16","10.1007/s11625-015-0332-6"
"Local Food Prices and International Price Transmission","World Development","8/1/17","10.1016/j.worlddev.2017.03.008"
"Local impacts of a global crisis: Food price transmission, consumer welfare and poverty in Ghana","Food Policy","8/1/10","10.1016/j.foodpol.2010.01.004"
"Loss and damage from the double blow of flood and drought in Mozambique","International Journal of Global Warming","1/1/13","10.1504/IJGW.2013.057291"
"Market Integration and Spatial Price Transmission in Niger Grain Markets","African Development Review-Revue Africaine De Developpement","6/1/14","10.1111/1467-8268.12080"
"MARKET SHOCKS IN SALMON AQUACULTURE: THE IMPACT OF THE CHILEAN DISEASE CRISIS","Journal of Agricultural and Applied Economics","5/1/18","10.1017/aae.2017.33"
"Negative impact on calorie intake associated with the 2006-08 food price crisis in Latin America","Food and Nutrition Bulletin","6/1/11",NA
"Nutritional resilience in Nepal following the earthquake of 2015","Plos One","11/7/18","10.1371/journal.pone.0205438"
